,combination,count,freq,iteration
512,ant-weak_mut-strong,1,0.041666667,9928
513,ant-weak_mut-weak,1,0.041666667,9928
514,ant-absent_mut-absent,3,0.125,9927
515,ant-absent_mut-weak,1,0.041666667,9927
516,ant-strong_mut-absent,9,0.375,9927
517,ant-strong_mut-strong,2,0.083333333,9927
518,ant-strong_mut-weak,5,0.208333333,9927
519,ant-weak_mut-absent,4,0.166666667,9927
520,ant-absent_mut-absent,1,0.041666667,9926
521,ant-absent_mut-strong,1,0.041666667,9926
522,ant-absent_mut-weak,1,0.041666667,9926
523,ant-strong_mut-absent,10,0.416666667,9926
524,ant-strong_mut-weak,4,0.166666667,9926
525,ant-weak_mut-absent,6,0.25,9926
526,ant-weak_mut-strong,1,0.041666667,9926
527,ant-absent_mut-absent,2,0.083333333,9925
528,ant-absent_mut-weak,1,0.041666667,9925
529,ant-strong_mut-absent,9,0.375,9925
530,ant-strong_mut-strong,2,0.083333333,9925
531,ant-strong_mut-weak,3,0.125,9925
532,ant-weak_mut-absent,6,0.25,9925
533,ant-weak_mut-weak,1,0.041666667,9925
534,ant-absent_mut-absent,4,0.166666667,9924
535,ant-strong_mut-absent,10,0.416666667,9924
536,ant-strong_mut-strong,2,0.083333333,9924
537,ant-strong_mut-weak,3,0.125,9924
538,ant-weak_mut-absent,4,0.166666667,9924
539,ant-weak_mut-weak,1,0.041666667,9924
540,ant-absent_mut-absent,2,0.083333333,9923
541,ant-absent_mut-weak,2,0.083333333,9923
542,ant-strong_mut-absent,10,0.416666667,9923
543,ant-strong_mut-strong,1,0.041666667,9923
544,ant-strong_mut-weak,2,0.083333333,9923
545,ant-weak_mut-absent,5,0.208333333,9923
546,ant-weak_mut-strong,1,0.041666667,9923
547,ant-weak_mut-weak,1,0.041666667,9923
548,ant-absent_mut-absent,3,0.125,9922
549,ant-absent_mut-weak,1,0.041666667,9922
550,ant-strong_mut-absent,9,0.375,9922
551,ant-strong_mut-strong,1,0.041666667,9922
552,ant-strong_mut-weak,4,0.166666667,9922
553,ant-weak_mut-absent,4,0.166666667,9922
554,ant-weak_mut-strong,1,0.041666667,9922
555,ant-weak_mut-weak,1,0.041666667,9922
556,ant-absent_mut-absent,4,0.166666667,9921
557,ant-absent_mut-strong,1,0.041666667,9921
558,ant-strong_mut-absent,11,0.458333333,9921
559,ant-strong_mut-weak,3,0.125,9921
560,ant-weak_mut-absent,2,0.083333333,9921
561,ant-weak_mut-strong,1,0.041666667,9921
562,ant-weak_mut-weak,2,0.083333333,9921
563,ant-absent_mut-absent,3,0.125,9920
564,ant-absent_mut-strong,1,0.041666667,9920
565,ant-strong_mut-absent,10,0.416666667,9920
566,ant-strong_mut-weak,4,0.166666667,9920
